IssueId,IssueNumber,IssueUrl,ProjectAdded,Result
F2-EPIC-000,1,https://github.com/duksh/FiceCal/issues/1,yes,ok
F2-STORY-001,2,https://github.com/duksh/FiceCal/issues/2,yes,ok
F2-STORY-002,3,https://github.com/duksh/FiceCal/issues/3,yes,ok
F2-TASK-003,4,https://github.com/duksh/FiceCal/issues/4,yes,ok
F2-TASK-004,5,https://github.com/duksh/FiceCal/issues/5,yes,ok
F2-TASK-005,6,https://github.com/duksh/FiceCal/issues/6,yes,ok
F2-TASK-006,7,https://github.com/duksh/FiceCal/issues/7,yes,ok
F2-EPIC-010,8,https://github.com/duksh/FiceCal/issues/8,yes,ok
F2-STORY-011,9,https://github.com/duksh/FiceCal/issues/9,yes,ok
F2-STORY-012,10,https://github.com/duksh/FiceCal/issues/10,yes,ok
F2-TASK-013,11,https://github.com/duksh/FiceCal/issues/11,yes,ok
F2-TASK-014,12,https://github.com/duksh/FiceCal/issues/12,yes,ok
F2-TASK-015,13,https://github.com/duksh/FiceCal/issues/13,yes,ok
F2-TASK-016,14,https://github.com/duksh/FiceCal/issues/14,yes,ok
F2-EPIC-020,15,https://github.com/duksh/FiceCal/issues/15,yes,ok
F2-STORY-021,16,https://github.com/duksh/FiceCal/issues/16,yes,ok
F2-STORY-022,17,https://github.com/duksh/FiceCal/issues/17,yes,ok
F2-TASK-023,18,https://github.com/duksh/FiceCal/issues/18,yes,ok
F2-TASK-024,19,https://github.com/duksh/FiceCal/issues/19,yes,ok
F2-TASK-025,20,https://github.com/duksh/FiceCal/issues/20,yes,ok
F2-TASK-026,21,https://github.com/duksh/FiceCal/issues/21,yes,ok
F2-EPIC-030,22,https://github.com/duksh/FiceCal/issues/22,yes,ok
F2-STORY-031,23,https://github.com/duksh/FiceCal/issues/23,yes,ok
F2-STORY-032,24,https://github.com/duksh/FiceCal/issues/24,yes,ok
F2-TASK-033,25,https://github.com/duksh/FiceCal/issues/25,yes,ok
F2-TASK-034,26,https://github.com/duksh/FiceCal/issues/26,yes,ok
F2-TASK-035,27,https://github.com/duksh/FiceCal/issues/27,yes,ok
F2-TASK-036,28,https://github.com/duksh/FiceCal/issues/28,yes,ok
F2-EPIC-040,29,https://github.com/duksh/FiceCal/issues/29,yes,ok
F2-STORY-041,30,https://github.com/duksh/FiceCal/issues/30,yes,ok
F2-STORY-042,31,https://github.com/duksh/FiceCal/issues/31,yes,ok
F2-TASK-043,32,https://github.com/duksh/FiceCal/issues/32,yes,ok
F2-TASK-044,33,https://github.com/duksh/FiceCal/issues/33,yes,ok
F2-TASK-045,34,https://github.com/duksh/FiceCal/issues/34,yes,ok
F2-TASK-046,35,https://github.com/duksh/FiceCal/issues/35,yes,ok
F2-EPIC-050,36,https://github.com/duksh/FiceCal/issues/36,yes,ok
F2-STORY-051,37,https://github.com/duksh/FiceCal/issues/37,yes,ok
F2-STORY-052,38,https://github.com/duksh/FiceCal/issues/38,yes,ok
F2-TASK-053,39,https://github.com/duksh/FiceCal/issues/39,yes,ok
F2-TASK-054,40,https://github.com/duksh/FiceCal/issues/40,yes,ok
F2-TASK-055,41,https://github.com/duksh/FiceCal/issues/41,yes,ok
F2-TASK-056,42,https://github.com/duksh/FiceCal/issues/42,yes,ok
F2-EPIC-060,43,https://github.com/duksh/FiceCal/issues/43,yes,ok
F2-STORY-061,44,https://github.com/duksh/FiceCal/issues/44,yes,ok
F2-STORY-062,45,https://github.com/duksh/FiceCal/issues/45,yes,ok
F2-TASK-063,46,https://github.com/duksh/FiceCal/issues/46,yes,ok
F2-TASK-064,47,https://github.com/duksh/FiceCal/issues/47,yes,ok
F2-TASK-065,48,https://github.com/duksh/FiceCal/issues/48,yes,ok
F2-TASK-066,49,https://github.com/duksh/FiceCal/issues/49,yes,ok
F2-EPIC-070,50,https://github.com/duksh/FiceCal/issues/50,yes,ok
F2-STORY-071,51,https://github.com/duksh/FiceCal/issues/51,yes,ok
F2-STORY-072,52,https://github.com/duksh/FiceCal/issues/52,yes,ok
F2-STORY-073,53,https://github.com/duksh/FiceCal/issues/53,yes,ok
F2-STORY-074,54,https://github.com/duksh/FiceCal/issues/54,yes,ok
F2-TASK-075,55,https://github.com/duksh/FiceCal/issues/55,yes,ok
F2-TASK-076,56,https://github.com/duksh/FiceCal/issues/56,yes,ok
F2-TASK-077,57,https://github.com/duksh/FiceCal/issues/57,yes,ok
F2-TASK-078,58,https://github.com/duksh/FiceCal/issues/58,yes,ok
F2-TASK-079,59,https://github.com/duksh/FiceCal/issues/59,yes,ok
F2-TASK-080,60,https://github.com/duksh/FiceCal/issues/60,yes,ok
F2-TASK-081,61,https://github.com/duksh/FiceCal/issues/61,yes,ok
F2-TASK-082,62,https://github.com/duksh/FiceCal/issues/62,yes,ok
F2-TASK-083,63,https://github.com/duksh/FiceCal/issues/63,yes,ok
F2-EPIC-090,64,https://github.com/duksh/FiceCal/issues/64,yes,ok
F2-STORY-091,65,https://github.com/duksh/FiceCal/issues/65,yes,ok
F2-STORY-092,66,https://github.com/duksh/FiceCal/issues/66,yes,ok
F2-TASK-093,67,https://github.com/duksh/FiceCal/issues/67,yes,ok
F2-TASK-094,68,https://github.com/duksh/FiceCal/issues/68,yes,ok
F2-TASK-095,69,https://github.com/duksh/FiceCal/issues/69,yes,ok
F2-TASK-096,70,https://github.com/duksh/FiceCal/issues/70,yes,ok
F2-TASK-097,71,https://github.com/duksh/FiceCal/issues/71,yes,ok
F2-TASK-098,72,https://github.com/duksh/FiceCal/issues/72,yes,ok
F2-TASK-099,73,https://github.com/duksh/FiceCal/issues/73,yes,ok
F2-EPIC-105,74,https://github.com/duksh/FiceCal/issues/74,yes,ok
F2-STORY-106,75,https://github.com/duksh/FiceCal/issues/75,yes,ok
F2-STORY-107,76,https://github.com/duksh/FiceCal/issues/76,yes,ok
F2-TASK-108,77,https://github.com/duksh/FiceCal/issues/77,yes,ok
F2-TASK-109,78,https://github.com/duksh/FiceCal/issues/78,yes,ok
F2-TASK-110,79,https://github.com/duksh/FiceCal/issues/79,yes,ok
F2-TASK-111,80,https://github.com/duksh/FiceCal/issues/80,yes,ok
F2-TASK-112,81,https://github.com/duksh/FiceCal/issues/81,yes,ok
F2-TASK-113,82,https://github.com/duksh/FiceCal/issues/82,yes,ok
F2-TASK-114,83,https://github.com/duksh/FiceCal/issues/83,yes,ok
F2-EPIC-120,84,https://github.com/duksh/FiceCal/issues/84,yes,ok
F2-STORY-121,85,https://github.com/duksh/FiceCal/issues/85,yes,ok
F2-STORY-122,86,https://github.com/duksh/FiceCal/issues/86,yes,ok
F2-TASK-123,87,https://github.com/duksh/FiceCal/issues/87,yes,ok
F2-TASK-124,88,https://github.com/duksh/FiceCal/issues/88,yes,ok
F2-TASK-125,89,https://github.com/duksh/FiceCal/issues/89,yes,ok
F2-TASK-126,90,https://github.com/duksh/FiceCal/issues/90,yes,ok
F2-TASK-127,91,https://github.com/duksh/FiceCal/issues/91,yes,ok
F2-TASK-128,92,https://github.com/duksh/FiceCal/issues/92,yes,ok
F2-TASK-129,93,https://github.com/duksh/FiceCal/issues/93,yes,ok
F2-EPIC-135,94,https://github.com/duksh/FiceCal/issues/94,yes,ok
