IssueId,Phase,Type,Title,DependsOn,OwnerTeam,Priority,Status,AcceptanceCriteria,ArtifactPaths,QualityGates,Labels
F2-EPIC-000,P00,EPIC,Program lock and governance baseline,,governance-office,P0,Done,"Scope, ownership, and phase sequencing signed off","docs/roadmap/ficecal-v2-execution-plan-updated.md","contract-drift;security-sbom","epic,governance,foundation"
F2-STORY-001,P00,STORY,Freeze authoritative contract index,F2-EPIC-000,governance-office,P0,Done,"Authoritative contracts list is complete and cross-linked","docs/roadmap/ficecal-v2-recovery-index.md","docs-link-validation","governance,contracts"
F2-STORY-002,P00,STORY,Define phase entry and exit criteria,F2-EPIC-000,platform-core,P0,Done,"Every phase has explicit DoD and gate references","docs/roadmap/ficecal-v2-execution-plan-updated.md","contract-drift","planning,quality"
F2-TASK-003,P00,TASK,Define RACI by domain,F2-STORY-002,governance-office,P1,Done,"RACI table exists for modules and operations","docs/roadmap/ficecal-v2-task-issue-registry.md","review-required","raci,ownership"
F2-TASK-004,P00,TASK,Define blocker severity policy,F2-STORY-002,security-team,P1,Done,"Critical/high/medium/low blockers documented with handling SLA","docs/roadmap/ficecal-v2-task-issue-registry.md","security-sbom","risk,policy"
F2-TASK-005,P00,TASK,Define quality gate matrix,F2-STORY-001,qa-team,P0,Done,"Gate matrix maps checks to phases and release blocks","docs/roadmap/ficecal-v2-execution-plan-updated.md","qa-playwright-evidence;security-sbom","quality,gates"
F2-TASK-006,P00,TASK,Seed memory-loss-safe docs index,F2-STORY-001,platform-core,P0,Done,"Recovery index allows restart without chat memory","docs/roadmap/ficecal-v2-recovery-index.md","docs-link-validation","recovery,docs"

F2-EPIC-010,P01,EPIC,Monorepo hard foundation,F2-EPIC-000,platform-core,P0,Done,"Blueprint is implementation-ready with guardrails active","README.md","ci-guardrails;contract-drift","epic,monorepo"
F2-STORY-011,P01,STORY,Harden repository structure and indexing,F2-EPIC-010,platform-core,P0,Done,"README and copy checklist include all required bootstrap artifacts","README.md;docs/ficecal-monorepo-copy-checklist.md","docs-link-validation","bootstrap,docs"
F2-STORY-012,P01,STORY,Activate branch and PR governance,F2-EPIC-010,governance-office,P0,Done,"PR template and CODEOWNERS enforce review requirements",".github/PULL_REQUEST_TEMPLATE.md;.github/CODEOWNERS","ci-guardrails","governance,pr"
F2-TASK-013,P01,TASK,Validate workflow inventory,F2-STORY-011,platform-core,P1,Done,"Required workflows present and referenced","docs/playbooks/ficecal-v2-workflow-inventory.md","ci-guardrails","workflows,gitops"
F2-TASK-014,P01,TASK,Document GitHub settings playbook,F2-STORY-012,platform-core,P1,Done,"Actions permissions, Pages setup, and required checks documented","docs/playbooks/github-actions-setup.md","docs-link-validation","playbook,actions"
F2-TASK-015,P01,TASK,Create issue seeding playbook,F2-STORY-011,platform-core,P1,Done,"Issue import process and field mapping documented","docs/playbooks/ficecal-v2-issue-seeding.md","docs-link-validation","project,issues"
F2-TASK-016,P01,TASK,Add bootstrap verification checkpoints,F2-STORY-011,qa-team,P1,Done,"Copy checklist includes service, fixtures, and governance files","docs/ficecal-monorepo-copy-checklist.md","ci-guardrails","checklist,bootstrap"

F2-EPIC-020,P02,EPIC,Core runtime boundaries and module baseline,F2-EPIC-010,platform-core,P0,Done,"Core interfaces and module boundaries are frozen for v2 train","docs/modularization-playbook.md","contract-drift","epic,core"
F2-STORY-021,P02,STORY,Define domain-owned interfaces,F2-EPIC-020,platform-core,P0,Done,"Economics, health, recommendation, integration boundaries explicit","docs/modularization-playbook.md","contract-drift","architecture,core"
F2-STORY-022,P02,STORY,Enforce adapter isolation pattern,F2-EPIC-020,platform-core,P0,Done,"Provider-specific logic isolated from core calculations","docs/provider-sdk-integration-strategy.md","contract-drift","architecture,adapters"
F2-TASK-023,P02,TASK,Map module dependency graph,F2-STORY-021,platform-core,P1,Done,"Dependencies recorded and validated for optional modules","src/features/feature-catalog.json","validate-feature-catalog","modules,dependency"
F2-TASK-024,P02,TASK,Define module failure fallback policy,F2-STORY-021,qa-team,P1,Done,"Optional module failures do not break core experience","docs/modularization-playbook.md;tests/contracts/fixtures/modules.optional-fallback/1.0/;tests/evidence/p02/f2-task-024-optional-module-fallback.md","qa-playwright-evidence","resilience,ux"
F2-TASK-025,P02,TASK,Document API boundary do-not-cross rules,F2-STORY-022,governance-office,P1,Done,"No SDK type leaks into canonical contracts","docs/provider-sdk-integration-strategy.md","contract-drift","contracts,boundary"
F2-TASK-026,P02,TASK,Create architecture decision traceability map,F2-STORY-021,platform-core,P2,Done,"ADRs linked to implementation modules and issues","docs/architecture-decision-traceability-map.md;docs/adr-0001-d3-first-chart-policy.md;docs/adr-0002-fastify-mcp-sdk-stack.md;docs/adr-0003-monorepo-structure-choice.md","docs-link-validation","adr,traceability"

F2-EPIC-030,P03,EPIC,MCP v2 baseline and compatibility,F2-EPIC-020,agent-platform,P0,Done,"MCP surface is module-aware with compatibility guarantees","docs/mcp-evolution-contract.md","contract-drift","epic,mcp"
F2-STORY-031,P03,STORY,Implement capabilities handshake,F2-EPIC-030,agent-platform,P0,Done,"mcp.capabilities.get reflects deployed tool surface","docs/mcp-evolution-contract.md;services/mcp/src/mcp/capabilities.ts;tests/contracts/fixtures/mcp/mcp.capabilities.get/2.0/","contract-drift","mcp,capabilities"
F2-STORY-032,P03,STORY,Implement common context envelope,F2-EPIC-030,agent-platform,P0,Done,"All v2 MCP tools consume shared context schema","docs/mcp-evolution-contract.md;services/mcp/src/mcp/context.ts;services/mcp/src/billing/tools/billing-ingest-tools.ts;tests/contracts/fixtures/mcp/mcp.context.envelope/2.0/","contract-drift","mcp,context"
F2-TASK-033,P03,TASK,Define legacy alias parity tests,F2-STORY-031,qa-team,P1,Done,"Legacy finops.* aliases validated against replacement tools","tests/contracts/fixtures/mcp/legacy-alias-parity/1.0/;scripts/validate-legacy-alias-parity.py;tests/evidence/p03/f2-task-033-legacy-alias-parity.md","contract-drift;qa-playwright-evidence","compatibility,testing"
F2-TASK-034,P03,TASK,Define MCP telemetry event contracts,F2-STORY-032,agent-platform,P1,Done,"mcp.tool.call and alias telemetry contracts documented","docs/mcp-evolution-contract.md","contract-drift","telemetry,mcp"
F2-TASK-035,P03,TASK,Create MCP tool ownership matrix,F2-STORY-032,governance-office,P1,Done,"Ownership for each module tool namespace assigned","docs/mcp-evolution-contract.md","review-required","ownership,mcp"
F2-TASK-036,P03,TASK,Add MCP release gate checklist,F2-STORY-031,qa-team,P1,Done,"MCP release requires parity and schema checks","docs/mcp-evolution-contract.md","contract-drift;security-sbom","release,mcp"

F2-EPIC-040,P04,EPIC,Contract fixture parity infrastructure,F2-EPIC-030,qa-team,P0,Done,"Fixtures are first-class release artifacts","docs/contract-test-fixture-pack.md;scripts/validate-fixture-coverage.py;docs/operational-incident-playbooks.md","contract-drift","epic,fixtures"
F2-STORY-041,P04,STORY,Enforce fixture-delta-with-contract policy,F2-EPIC-040,qa-team,P0,Done,"Contract change PRs include fixture updates","docs/contract-test-fixture-pack.md;.github/PULL_REQUEST_TEMPLATE.md;docs/operational-incident-playbooks.md","contract-drift","fixtures,policy"
F2-STORY-042,P04,STORY,Enable deterministic fixture validation,F2-EPIC-040,qa-team,P0,Done,"Fixture outputs stable and reproducible","tests/contracts/fixtures/;scripts/validate-fixture-coverage.py","contract-drift","fixtures,determinism"
F2-TASK-043,P04,TASK,Seed module fixture coverage baseline,F2-STORY-042,qa-team,P1,Done,"All phase-active modules have valid/invalid/expected fixtures","tests/contracts/fixtures/;scripts/validate-fixture-coverage.py","contract-drift","fixtures,module"
F2-TASK-044,P04,TASK,Seed MCP fixture coverage baseline,F2-STORY-042,qa-team,P1,Done,"All phase-active MCP tools have request/response fixtures","tests/contracts/fixtures/mcp/;scripts/validate-fixture-coverage.py;tests/evidence/p04/f2-task-044-mcp-fixture-coverage.md","contract-drift","fixtures,mcp"
F2-TASK-045,P04,TASK,Define fixture review checklist,F2-STORY-041,qa-team,P2,Done,"PR checklist includes fixture quality checks",".github/PULL_REQUEST_TEMPLATE.md;docs/contract-test-fixture-pack.md","ci-guardrails","fixtures,review"
F2-TASK-046,P04,TASK,Add drift triage process for fixture failures,F2-STORY-041,platform-core,P1,Done,"Fixture failures route to schema/update/bug triage path","docs/operational-incident-playbooks.md;docs/contract-test-fixture-pack.md","contract-drift","drift,operations"

F2-EPIC-050,P05,EPIC,UI foundation and evidence pipeline,F2-EPIC-040,ui-foundation-team,P0,Done,"UI is stable, responsive, and evidence-backed","docs/ui-foundation-hci-metrics-contract.md;docs/qa-evidence-storage-convention.md;tests/e2e/smoke-journeys.md;scripts/validate-qa-evidence-policy.py;apps/web/src/index.html","qa-playwright-evidence","epic,ui"
